arc_length,uh_0,uh_1,uh_2
0.0031,9.99003,0.0154539,0
0.00312,9.99166,0.0154619,0
0.00314,9.99329,0.01547,0
0.00316,9.99492,0.015478,0
0.00318,9.99656,0.015486,0
0.0032,9.99819,0.0154941,0
0.00322,9.99982,0.0155021,0
0.00324,10.0015,0.0155101,0
0.00326,10.0031,0.0155182,0
0.00328,10.0047,0.0155262,0
0.0033,10.0064,0.0155342,0
0.00332,10.0072,0.0155386,0
0.00334,10.0078,0.0155414,0
0.00336,10.0084,0.0155441,0
0.00338,10.0089,0.0155469,0
0.0034,10.0095,0.0155496,0
0.00342,10.01,0.0155524,0
0.00344,10.0106,0.0155551,0
0.00346,10.0111,0.0155579,0
0.00348,10.0117,0.0155606,0
0.0035,10.0122,0.0155633,0
0.00352,10.0128,0.0155661,0
0.00354,10.0133,0.0155688,0
0.00356,10.0139,0.0155716,0
0.00358,10.0144,0.0155743,0
0.0036,10.015,0.0155771,0
0.00362,10.0152,0.0155777,0
0.00364,10.0153,0.0155784,0
0.00366,10.0155,0.015579,0
0.00368,10.0157,0.0155796,0
0.0037,10.0158,0.0155803,0
0.00372,10.016,0.0155809,0
0.00374,10.0161,0.0155816,0
0.00376,10.0163,0.0155822,0
0.00378,10.0165,0.0155829,0
0.0038,10.0166,0.0155835,0
0.00382,10.0168,0.0155841,0
0.00384,10.017,0.0155848,0
0.00386,10.0171,0.0155854,0
0.00388,10.0173,0.0155861,0
0.0039,10.0175,0.0155867,0
0.00392,10.0175,0.0155869,0
0.00394,10.0176,0.0155869,0
0.00396,10.0176,0.0155869,0
0.00398,10.0177,0.0155869,0
0.004,10.0177,0.0155868,0
0.00402,10.0178,0.0155868,0
0.00404,10.0178,0.0155868,0
0.00406,10.0179,0.0155868,0
0.00408,10.0179,0.0155868,0
0.0041,10.018,0.0155868,0
0.00412,10.018,0.0155867,0
0.00414,10.0181,0.0155867,0
0.00416,10.0181,0.0155867,0
0.00418,10.0182,0.0155867,0
0.0042,10.0182,0.0155867,0
0.00422,10.0183,0.0155867,0
0.00424,10.0183,0.0155865,0
0.00426,10.0183,0.0155863,0
0.00428,10.0183,0.0155862,0
0.0043,10.0184,0.015586,0
0.00432,10.0184,0.0155858,0
0.00434,10.0184,0.0155856,0
0.00436,10.0184,0.0155854,0
0.00438,10.0184,0.0155852,0
0.0044,10.0184,0.0155851,0
0.00442,10.0185,0.0155849,0
0.00444,10.0185,0.0155847,0
0.00446,10.0185,0.0155845,0
0.00448,10.0185,0.0155843,0
0.0045,10.0185,0.0155841,0
0.00452,10.0186,0.015584,0
0.00454,10.0186,0.0155838,0
0.00456,10.0186,0.0155836,0
0.00458,10.0186,0.0155834,0
0.0046,10.0186,0.0155831,0
0.00462,10.0186,0.0155829,0
0.00464,10.0186,0.0155827,0
0.00466,10.0186,0.0155825,0
0.00468,10.0186,0.0155823,0
0.0047,10.0187,0.015582,0
0.00472,10.0187,0.0155818,0
0.00474,10.0187,0.0155816,0
0.00476,10.0187,0.0155814,0
0.00478,10.0187,0.0155811,0
0.0048,10.0187,0.0155809,0
0.00482,10.0187,0.0155807,0
0.00484,10.0187,0.0155805,0
0.00486,10.0187,0.0155802,0
0.00488,10.0187,0.01558,0
0.0049,10.0188,0.0155798,0
0.00492,10.0188,0.0155796,0
0.00494,10.0188,0.0155793,0
0.00496,10.0188,0.0155791,0
0.00498,10.0188,0.0155788,0
0.005,10.0188,0.0155786,0
0.00502,10.0188,0.0155784,0
0.00504,10.0188,0.0155781,0
0.00506,10.0188,0.0155779,0
0.00508,10.0188,0.0155777,0
0.0051,10.0188,0.0155774,0
0.00512,10.0188,0.0155772,0
0.00514,10.0188,0.015577,0
0.00516,10.0188,0.0155767,0
0.00518,10.0188,0.0155765,0
0.0052,10.0188,0.0155762,0
0.00522,10.0188,0.015576,0
0.00524,10.0189,0.0155758,0
0.00526,10.0189,0.0155755,0
0.00528,10.0189,0.0155753,0
0.0053,10.0189,0.015575,0
0.00532,10.0189,0.0155748,0
0.00534,10.0189,0.0155746,0
0.00536,10.0189,0.0155743,0
0.00538,10.0189,0.0155741,0
0.0054,10.0189,0.0155738,0
0.00542,10.0189,0.0155736,0
0.00544,10.0189,0.0155733,0
0.00546,10.0189,0.0155731,0
0.00548,10.0189,0.0155728,0
0.0055,10.0189,0.0155726,0
0.00552,10.0189,0.0155724,0
0.00554,10.0189,0.0155721,0
0.00556,10.0189,0.0155719,0
0.00558,10.0189,0.0155716,0
0.0056,10.0189,0.0155714,0
0.00562,10.0189,0.0155711,0
0.00564,10.0189,0.0155709,0
0.00566,10.0189,0.0155707,0
0.00568,10.0189,0.0155704,0
0.0057,10.0189,0.0155702,0
0.00572,10.0189,0.0155699,0
0.00574,10.0189,0.0155697,0
0.00576,10.0189,0.0155694,0
0.00578,10.019,0.0155692,0
0.0058,10.019,0.0155689,0
0.00582,10.019,0.0155687,0
0.00584,10.019,0.0155684,0
0.00586,10.019,0.0155682,0
0.00588,10.019,0.0155679,0
0.0059,10.019,0.0155677,0
0.00592,10.019,0.0155675,0
0.00594,10.019,0.0155672,0
0.00596,10.019,0.015567,0
0.00598,10.019,0.0155667,0
0.006,10.019,0.0155665,0
0.00602,10.019,0.0155662,0
0.00604,10.019,0.015566,0
0.00606,10.019,0.0155657,0
0.00608,10.019,0.0155655,0
0.0061,10.019,0.0155652,0
0.00612,10.019,0.015565,0
0.00614,10.019,0.0155647,0
0.00616,10.019,0.0155645,0
0.00618,10.019,0.0155642,0
0.0062,10.019,0.015564,0
0.00622,10.019,0.0155637,0
0.00624,10.019,0.0155635,0
0.00626,10.019,0.0155632,0
0.00628,10.019,0.015563,0
0.0063,10.019,0.0155627,0
0.00632,10.019,0.0155625,0
0.00634,10.019,0.0155623,0
0.00636,10.019,0.015562,0
0.00638,10.019,0.0155618,0
0.0064,10.019,0.0155615,0
0.00642,10.019,0.0155613,0
0.00644,10.019,0.015561,0
0.00646,10.019,0.0155608,0
0.00648,10.019,0.0155605,0
0.0065,10.019,0.0155603,0
0.00652,10.019,0.01556,0
0.00654,10.019,0.0155598,0
0.00656,10.019,0.0155595,0
0.00658,10.019,0.0155593,0
0.0066,10.019,0.015559,0
0.00662,10.0191,0.0155588,0
0.00664,10.0191,0.0155585,0
0.00666,10.0191,0.0155583,0
0.00668,10.0191,0.015558,0
0.0067,10.0191,0.0155578,0
0.00672,10.0191,0.0155575,0
0.00674,10.0191,0.0155573,0
0.00676,10.0191,0.015557,0
0.00678,10.0191,0.0155568,0
0.0068,10.0191,0.0155565,0
0.00682,10.0191,0.0155563,0
0.00684,10.0191,0.015556,0
0.00686,10.0191,0.0155558,0
0.00688,10.0191,0.0155555,0
0.0069,10.0191,0.0155553,0
0.00692,10.0191,0.015555,0
0.00694,10.0191,0.0155548,0
0.00696,10.0191,0.0155545,0
0.00698,10.0191,0.0155543,0
0.007,10.0191,0.015554,0
0.00702,10.0191,0.0155538,0
0.00704,10.0191,0.0155535,0
0.00706,10.0191,0.0155533,0
0.00708,10.0191,0.015553,0
0.0071,10.0191,0.0155528,0
0.00712,10.0191,0.0155525,0
0.00714,10.0191,0.0155523,0
0.00716,10.0191,0.0155521,0
0.00718,10.0191,0.0155518,0
0.0072,10.0191,0.0155516,0
0.00722,10.0191,0.0155513,0
0.00724,10.0191,0.0155511,0
0.00726,10.0191,0.0155508,0
0.00728,10.0191,0.0155506,0
0.0073,10.0191,0.0155503,0
0.00732,10.0191,0.0155501,0
0.00734,10.0191,0.0155498,0
0.00736,10.0191,0.0155496,0
0.00738,10.0191,0.0155493,0
0.0074,10.0191,0.0155491,0
0.00742,10.0191,0.0155488,0
0.00744,10.0191,0.0155486,0
0.00746,10.0191,0.0155483,0
0.00748,10.0191,0.0155481,0
0.0075,10.0191,0.0155478,0
0.00752,10.0191,0.0155476,0
0.00754,10.0191,0.0155473,0
0.00756,10.0191,0.0155471,0
0.00758,10.0191,0.0155468,0
0.0076,10.0191,0.0155466,0
0.00762,10.0191,0.0155463,0
0.00764,10.0191,0.0155461,0
0.00766,10.0191,0.0155458,0
0.00768,10.0191,0.0155456,0
0.0077,10.0191,0.0155453,0
